Name,DNS Domain,Type,Status,IP Address,D Operating System,D Host Domain
fenapptramsp02,,Windows,In Use,156.45.55.107,Windows 2008 R2,us.maritz.net
fenappvcp03,,Windows,In Use,172.18.7.104,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappvsrp01,,Windows,In Use,172.18.7.199,Windows Server 2012 R2 Standard R2,us.maritz.net
fenbes05,,Windows,Installed,156.45.53.57,Windows 2008 R2,us.maritz.net
fenbkup01,,Windows,In Use,156.45.54.231,Windows 2008 R2,us.maritz.net
fenbkup02,,Windows,In Use,156.45.55.114,Windows 2008 R2,us.maritz.net
fenbkup03,,Windows,In Use,156.45.54.175,Windows 2008 R2,us.maritz.net
fenbkup04,,Windows,In Use,156.45.55.208,Windows 2008 R2,us.maritz.net
fenbkup04-old,,Windows,De-Installed,156.45.55.208,Windows 2003,us.maritz.net
fenbkup05,,Windows,In Use,10.99.13.26,Windows 2008 R2,mpn.local
fenbkup10,,Windows,In Use,192.168.10.20,Windows 2008 R2,mneti.local
fenbkup20,,Windows,In Use,156.45.55.66,Windows 2008 R2,us.maritz.net
fenclsr1901,,Windows,To Be Disposed - AM,192.168.32.91,Windows 2003,csd.maritzcs
fenclsr1902,,Windows,Decommissioned,192.168.32.92,Windows 2003,csd.maritzcs
fenclsr2601,,Windows,In Use,156.45.50.54,Windows 2003,us.maritz.net
fenclsr2602,,Windows,In Use,156.45.50.55,Windows 2003,us.maritz.net
fenclsr2701,,Windows,In Use,156.45.50.132,Windows 2003,us.maritz.net
fenclsr2702,,Windows,In Use,156.45.50.12,Windows 2003,us.maritz.net
fenclsr2801,,Windows,In Use,156.45.50.227,Windows 2003,us.maritz.net
fenclsr2802,,Windows,In Use,156.45.50.228,Windows 2003,us.maritz.net
fenclsr3301,,Windows,In Use,172.19.22.21,Windows 2008 R2,us.maritz.net
fenclsr3302,,Windows,In Use,172.19.22.22,Windows 2008 R2,us.maritz.net
fendccsw601v,,Windows,In Use,192.168.30.51,Windows 2003,csw.maritzcs
fendccsw701v,,Windows,In Use,192.168.30.52,Windows 2003,csw.maritzcs
fendcmnete01,,Windows,In Use,156.45.59.121,Windows 2008 R2,mnete.local
fendcmnete02,,Windows,In Use,156.45.59.122,Windows 2008 R2,mnete.local
fendcmneti01,,Windows,In Use,172.19.13.251,Windows 2008 R2,mneti.local
fendcmneti02,,Windows,In Use,172.19.13.252,Windows 2008 R2,mneti.local
fendcmpn01,,Windows,In Use,10.99.13.251,Windows 2008 R2,mpn.local
fendcmpn02,,Windows,In Use,10.99.13.252,Windows 2008 R2,mpn.local
fendcmpne01,,Windows,In Use,156.45.69.251,Windows 2008 R2,mpne.local
fendcmpne02,,Windows,In Use,156.45.69.252,Windows 2008 R2,mpne.local
fendcmpni01,,Windows,In Use,192.168.238.251,Windows 2008 R2,mpni.local
fendcmpni02,,Windows,In Use,192.168.238.252,Windows 2008 R2,mpni.local
fendcrt01,,Windows,In Use,156.45.65.12,Windows 2008 R2,maritz.net
fendcrt02,,Windows,In Use,156.45.65.13,Windows 2008 R2,maritz.net
fendcrt03,,Windows,In Use,156.45.65.58,Windows 2008 R2,maritz.net
FENDCRT04,,Windows,Installed,,,
fendcrt21,,Windows,In Use,172.19.1.41,,
fendcus01,,Windows,In Use,156.45.65.61,Windows 2008 R2,us.maritz.net
fendcus02,,Windows,In Use,156.45.65.59,Windows 2008 R2,us.maritz.net
fendcus03,,Windows,In Use,156.45.65.60,Windows 2008 R2,us.maritz.net
fendcus13,,Windows,In Use,156.45.56.17,Windows 2008 R2,us.maritz.net
fendcus14,,Windows,In Use,156.45.56.18,Windows 2008 R2,us.maritz.net
fendcus21,,Windows,In Use,172.19.1.21,Windows 2008 R2,us.maritz.net
fendcus22,,Windows,In Use,172.19.1.22,Windows 2008 R2,us.maritz.net
fendcus23,,Windows,In Use,172.19.1.23,Windows 2008 R2,us.maritz.net
fendhcp01,,Windows,Decommissioned,156.45.65.56,Windows 2003,us.maritz.net
fendhcp02,,Windows,In Use,156.45.65.56,Windows Server 2012 R2 Standard R2,us.maritz.net
fenexch05,,Windows,In Use,156.45.53.31,Windows 2008 R2,us.maritz.net
fenexch06,,Windows,In Use,156.45.53.30,Windows Server 2012 R2 Standard R2,us.maritz.net
fenexch07,,Windows,In Use,156.45.53.43,Windows Server 2012 R2 Standard R2,us.maritz.net
fenexch08,,Windows,In Use,156.45.53.45,Windows 2008 R2,us.maritz.net
fenexch11,,Windows,In Use,156.45.53.70,Windows 2008 R2,us.maritz.net
fenexch12,,Windows,Decommissioned,156.45.53.71,Windows 2008 R2,us.maritz.net
fenexch13,,Windows,In Use,156.45.53.72,Windows 2008 R2,us.maritz.net
FENEXCH1601C,,Windows,De-Installed,156.45.53.17,,
FENEXCH1602C,,Windows,De-Installed,156.45.53.18,,
FENEXCH1603C,,Windows,De-Installed,156.45.53.19,,
fenftp07,,Windows,In Use,192.168.11.32,Windows 2003,mneti.local
fenftp08,,Windows,In Use,192.168.11.31,Windows 2003,mneti.local
fenftp10,maritz.com,Windows,In Use,156.45.50.249,Windows 2003,us.maritz.net
fenftp1008,,Windows,In Use,172.19.2.253,Windows 2003,us.maritz.net
fenftp1009,,Windows,In Use,172.19.18.253,Windows 2008 R2,us.maritz.net
fenftp1010,,Windows,In Use,172.19.22.253,Windows 2008 R2,us.maritz.net
fenftp1012,,Windows,In Use,172.19.17.253,Windows 2008 R2,us.maritz.net
fenftp1013,,Windows,In Use,172.19.23.253,Windows 2008 R2,us.maritz.net
fenftp1014,,Windows,In Use,156.45.50.90,Windows 2008 R2,us.maritz.net
fenftp1015,,Windows,In Use,172.19.8.253,Windows 2008 R2,us.maritz.net
fenftp1016,,Windows,In Use,172.19.20.253,Windows 2008 R2,us.maritz.net
fenftp1017,,Windows,In Use,172.19.15.253,Windows 2008 R2,us.maritz.net
fenftp1018,,Windows,In Use,172.19.5.248,Windows Server 2012 Standard,us.maritz.net
fenftp1019,,Windows,In Use,172.17.5.248,Windows Server 2012 R2 Standard R2,mpn.local
FENFTP1020,,Windows,Build/Rebuild,172.18.2.245,,
fenftp1021,,Windows,Build/Rebuild,172.18.1.254,,
fenftp1022,,Windows,Build/Rebuild,172.18.6.254,Windows Server 2012 R2 Standard R2,us.maritz.net
fenftp1026,,Windows,Build/Rebuild,172.19.2.252,,
fenftp1027,,Windows,In Use,172.19.6.248,Windows Server 2012 R2 Standard R2,us.maritz.net
fenftp1028,,Windows,In Use,172.17.3.233,Windows Server 2012 R2 Standard R2,mpn.local
fenftp1029,,Windows,In Use,172.17.2.248,Windows Server 2012 R2 Standard R2,mpn.local
fenftp12,,Windows,In Use,192.168.21.28,Windows 2003,mneti.local
fenftp13,,Windows,Decommissioned,156.45.59.38,Windows 2003,mnete.local
fenftp15,,Windows,In Use,192.168.238.32,Windows 2008 R2,mpni.local
fenftp17,,Windows,Installed,192.168.11.33,,
fenftp18,,Windows,Installed,192.168.11.35,Windows Server 2012 R2 Standard R2,mneti.local
fenftp20,,Windows,Build/Rebuild,156.45.50.110,,
fenftp22,,Windows,Build/Rebuild,192.168.21.33,,
fenftp23,,Windows,In Use,156.45.59.24,Windows Server 2012 R2 Standard R2,mnete.local
fenftp801v,,Windows,In Use,172.18.6.253,Windows 2003,us.maritz.net
fenftp802v,,Windows,In Use,172.18.1.253,Windows 2003,us.maritz.net
fenftp803,,Windows,In Use,172.18.2.253,Windows 2003,us.maritz.net
FENHDPITD01,,Windows,Installed,156.45.66.152,,
FENHDPITD02,,Windows,Installed,156.45.66.153,,
FENIDSLOG02,,Windows,In Use,156.45.54.137,,
fenitrdsp01,,Windows,In Use,10.99.13.35,Windows Server 2012 R2 Standard R2,mpn.local
fenitrdsp02,,Windows,In Use,156.45.50.240,Windows Server 2012 R2 Standard R2,us.maritz.net
fenitrdsp03,,Windows,Installed,172.17.3.240,Windows Server 2012 R2 Standard R2,mpn.local
fenitrdsp04,,Windows,Build/Rebuild,172.18.2.240,Windows Server 2012 R2 Standard R2,us.maritz.net
fenitrdsp05,,Windows,In Use,172.17.2.240,Windows Server 2012 R2 Standard R2,mpn.local
fenitrdsp06,,VMware,Build/Rebuild,156.45.69.240,,
fenitrdsp07,,Windows,In Use,192.168.238.249,Windows Server 2012 R2 Standard R2,mpni.local
fenlcs04,,Windows,In Use,156.45.53.32,Windows 2008 R2,us.maritz.net
fenlcs05,,Windows,In Use,192.168.21.17,Windows 2008 R2,mneti.local
FENMSG06,,Appliance,In Use,156.45.53.35,,
FENMSG07,,Appliance,In Use,156.45.53.36,,
fenmsg08,,Windows,In Use,156.45.53.56,Windows Server 2012 R2 Standard R2,us.maritz.net
fenmsg98,,Windows,In Use,156.45.53.24,Windows 2008 R2,maritz.net
fenmsg99,,Windows,Installed,156.45.53.59,Windows 2008 R2,us.maritz.net
fenmsgiac01,,Windows,Installed,156.45.53.90,Windows 2008 R2,us.maritz.net
fenmta20,,Windows,De-Installed,156.45.53.120,,
fenmta21,,Windows,De-Installed,156.45.53.121,,
fenmta29,,Windows,In Use,156.45.53.11,Windows 2008 R2,us.maritz.net
fenmta32,,Windows,Decommissioned,,Windows 2008 R2,us.maritz.net
fenoffc301,,Windows,In Use,156.45.54.45,Windows Server 2012 R2 Standard R2,us.maritz.net
fenoffc302,,Windows,In Use,156.45.54.53,Windows Server 2012 R2 Standard R2,us.maritz.net
fenowa05,,Windows,De-Installed,156.45.53.47,,
fenpoly210,,Windows,To Be Disposed - AM,,Windows 2003,us.maritz.net
fenpoly802,,Windows,To Be Disposed - AM,,Windows 2003,us.maritz.net
fenprnt001,,Windows,In Use,156.45.54.19,Windows Server 2012 R2 Standard R2,us.maritz.net
fenprnt002,,Windows,In Use,156.45.54.25,,
fenprnt003,,Windows,In Use,156.45.54.64,Windows Server 2012 Standard,us.maritz.net
fenprnt004,,Windows,In Use,156.45.54.84,Windows Server 2012 Standard,us.maritz.net
fenrdslcnsp01,,Windows,In Use,172.19.21.31,Windows 2008 R2,us.maritz.net
fenrdslcnsp02,,Windows,In Use,10.99.13.33,Windows 2008 R2,mpn.local
fenrdslcnsp03,,Windows,In Use,156.45.82.17,Windows 2008 R2,us.maritz.net
Fenrdsmgmtp01,,Windows,In Use,156.45.52.137,,
fenris04,,Windows,In Use,156.45.65.70,Windows 2003,us.maritz.net
fenrptmgp03,,Windows,In Use,192.168.11.241,Windows 2008 R2,mneti.local
